id,Aminoglycoside,Antibacterial fatty acid,Bacitracin,Beta-lactam,Bicyclomycin,Bleomycin,Chloramphenicol,Defensin,Edeine,Florfenicol,Fosfomycin,MLS,Mupirocin,Novobiocin,Other peptide antibiotics,Pleuromutilin tiamulin,Polymyxin,Puromycin,Quinolone,Rifamycin,Streptothricin,Sulfonamide,Tetracycline,Trimethoprim,Vancomycin
EFF1,0.05382607,0,0.034467888,0.04787283,0,0,0.004245747,0,0,0.002143696,0,0.052421725,0.000914159,2.75E-04,0.000277133,0.000189577,0.020421882,0,0.001094092,0.001973186,0.000142778,0.070894415,0.031357039,0.008155647,7.41E-05
EFF2,0.02346715,0,0.029166565,0.030577391,0,0,0.001022135,0,0,0.001312538,5.77E-05,0.070685465,3.04E-03,0.003400228,0,7.87E-05,0.003834396,0,0.001428743,0.033875395,0,0.050920133,0.043957862,0.011110333,0
EFF3,2.09E-02,0,0.03893551,0.026873362,0,0,1.81E-03,0,0,0.000488148,0.000600355,2.24E-02,0.000995365,0.000498087,0.000181042,0.000102648,0.008504087,0,0.000707935,0.006276477,0.00E+00,0.043175529,0.014579309,0.017035847,0.00015909
EFF4,0.045298801,0,0.022742893,0.049581959,0,0,0.00805151,0,0,0.001596359,0.000505794,0.03932832,0.001070207,0.000810915,0.000251097,5.35E-05,0.012073004,6.34E-05,0.003737979,0.009279912,0.000381,0.040725275,0.03362774,0.003967187,0
INF1,0.487692723,0.000113419,0.095603942,0.49552714,0,0,0.066297417,9.19E-05,0.00E+00,0.010094006,0.002305772,0.475841204,0.003650609,0.000253106,0.005598784,0.000618055,0.145467952,0,0.029343017,0.004658564,0.005687232,0.207990163,0.374700329,0.030505841,0.000178596
INF2,0,0.163637228,0.074204982,3.87E-05,0.000588133,0.010960157,0,0.216940609,0.0001394,0.212659018,0.002083998,0.289191424,0.001856213,0.074328232,0.000536273,0.002009685,0,0.016535467,0.000632783,0.315138788,2.91E-05,0.000193865,0.040234836,0.005439864,0.003972564
INF3,3.14E-02,0,0.041916417,0.037100312,0.00E+00,0,1.60E-03,6.11E-05,0,0.001033131,0,0.031262814,9.47E-04,0.001056281,0,0.000105726,0.011612799,0.00E+00,0.000112489,0.00455499,0.00E+00,0.064282807,0.012754848,0.00324197,0.000148112
INF4,0.441235892,6.45E-05,0.08839131,0.540098735,0,0.000215379,0.064590983,0,0,0.007352486,0.003287926,0.411577994,0.003169688,6.64E-05,6.19E-03,0.000573268,0.142267634,0,2.30E-02,0.005698638,0.010226282,0.251624518,0.225533348,0.024941818,0.000691986
RD1,0.010437112,0,0.04500747,0.011722775,0,0,0.00063164,0,0,0.000444703,0.000172975,0.033741261,0.001943423,0.000275226,6.30E-05,0.000111578,0.00804606,0,0.000196175,0.00647006,0,0.042846386,0.002455886,0.000938881,0
RD2,0.254924643,0,0.298956102,0.413873871,0.041506047,0.011039208,0.07751964,5.08E-05,0,0.064247551,0.055473998,0.152028035,0.001488697,0.000463206,0.0816585,6.39E-05,0.404725613,0,0.080674867,0.00609397,0,0.109308565,0.154286678,8.10E-02,0
RD3,1.17E-02,1.91E-05,0.050320903,0.017779102,0,0,0.001101289,0,0,0.001149071,3.34E-05,0.038596899,0.001698824,0.000495693,0.00E+00,0,0.021450721,4.77E-05,2.76E-04,0.000571426,0,0.028411108,0.004087687,0.005110522,0
RD4,0.019052028,0,0.04740995,0.028109329,0,0,0.001584421,0,0,0.001427025,8.97E-05,0.021557478,0.003025647,0.001064826,0.000224509,0.000144305,0.018637212,2.03E-05,0.000157666,0.003149807,6.79E-05,0.023343434,0.006480643,0.00245263,4.21E-05
RM1,0.007601032,0,0.037540871,0.007789972,0,0,2.99E-05,0,0,0.000327853,0,0.031536811,0.002221488,0.000544512,0.000150883,2.41E-05,0.008215077,0,3.83E-05,0.007887051,0,0.034785315,0.001466748,0.003699595,0
RM2,0.01167006,0,7.00E-02,0.0114187,0,0,0.000873982,0,0,0.001851819,0.000359912,0.017607065,1.79E-03,0.000285282,0.000532338,6.63E-05,0.019276516,0,9.96E-05,0.000841836,0,2.93E-02,0.002049887,0.002958842,4.34E-05
RM3,0.010959311,0,0.047048285,0.017236206,0,0,0.00098299,0,0,0.000640482,0,0.036101082,0.002371452,0.000647981,0,8.37E-05,0.019607049,3.64E-05,0.000128788,0.000266046,0,0.037992047,0.005071434,0.004648761,0
RM4,0.050765875,0,0.083924951,0.066086444,0,0,0.006571603,0,0,0.002031206,0.000344242,0.093063785,0.002185382,0.000732674,0.000243695,1.35E-04,0.028840663,0,0.002670393,0.002421658,0.000422311,5.41E-02,2.49E-02,0.004931075,7.56E-05
RU1,5.01E-03,0,0.039880729,0.007382619,0,0,0.000247323,0,0,0.00037888,0.000110716,0.033209033,0.002221973,0.000494147,6.96E-05,2.97E-05,0.009954511,0,7.55E-05,0.008525235,0,0.021625647,0.001708783,0.001738261,0
RU2,0.007207316,1.73E-05,0.129004685,0.015761507,0,0,1.57E-03,0,0,0.001567105,0.00E+00,1.21E-02,0.002249316,0.000597706,2.54E-05,1.71E-05,0.028724563,2.76E-05,1.80E-04,0.00263522,0,0.036751882,0.003250775,0.001724085,0
RU3,0.01679928,0,0.061218132,0.030127869,0,0,0.000584279,0,0,0.002312834,0,0.051258305,0.002099109,0.000493759,3.35E-05,2.26E-05,0.02998074,0,0.000403161,0.001190016,0,0.046972505,0.006808962,0.005204593,0
RU4,0.025002741,0,0.05884721,0.028199399,0,0.00E+00,0.00184267,0,0,0.000677653,0,3.30E-02,0.002827703,0.001137546,0.000204749,0.000112846,0.016854303,0,0.001398581,0.004147328,0.00035244,3.22E-02,0.009680168,0.00360257,3.39E-05
SW1,0.02225365,3.75E-05,0.126470496,0.022588081,7.31E-05,0,0.000358048,0,0,0.001348047,4.56E-04,1.32E-02,0.00164411,0.000871916,0,2.18E-05,0.058271213,2.40E-05,0.000951373,0.000445759,0,0.030290745,0.004167753,0.001681789,0
SW2,0.006840947,1.96E-05,0.053287099,0.01182391,0,0,0.000545773,0,0,0.000260359,0.00035935,0.015790352,0.001489067,0.001130976,5.49E-05,2.27E-05,0.014604345,0.00E+00,2.19E-04,0.001323858,0,2.77E-02,0.002775788,0.001046051,0
TW1,0.001970216,2.20E-05,0.222082018,0.00650228,0.000130425,0.00E+00,0.003048362,0,0,0.000306669,0.000673676,0.003670588,0.000204661,0.00135308,0,2.77E-05,0.011751576,0,0.001200453,0.004706282,0,0.00947397,0.003031511,0.000329794,0.001884236
TW2,0.011838549,0,0.281583344,0.072925829,0.006130925,0.00E+00,8.40E-03,0,0,2.76E-05,0.018615665,0.013261332,0.000968462,0.000862361,0,0.000251585,3.40E-02,0,3.55E-02,0.002454427,0,0.000709756,2.62E-02,0.000581318,0.00012608
TW3,0.025168947,1.94E-05,0.055743508,6.09E-02,0,0.00E+00,0.003209053,9.94E-05,0,0.000857652,0.000400706,0.014317904,0.000687469,0.001778874,2.60E-05,0.00015613,0.01451782,0.00E+00,0.017063171,0.005091852,0.000164143,0.012517274,0.007389471,0.009140235,0.00081887
TW4,0.022032543,7.35E-05,0.101589728,7.16E-02,0.000503086,0,0.00201071,0,9.99E-05,0.000649904,0.016196466,4.37E-02,4.78E-04,0.002499002,0.002116109,0.000268753,0.016710642,0,0.022666834,0.006291922,0.000160692,1.48E-02,0.026880119,0.002015578,0.000671064
TW5,0.019989745,5.92E-05,0.062162897,0.039897341,0.000597195,0,0.002303001,0,0,0.000857543,0.002623683,0.016442791,0.000358479,0.002672951,0.00016015,0.000277862,0.016358917,0,4.13E-03,0.003955195,0,0.022937122,0.006314966,0.003058521,0.001227741
TW6,7.74E-03,0,0.08140544,5.71E-02,0,0.00E+00,0.000396834,0,0,0,0.000802527,0.022020096,0.00148306,0.001141303,6.61E-05,5.47E-05,0.013182567,0,0.024571852,0.005348763,0.000292886,0.005489126,1.86E-03,0.004897759,0.001120038
